iter	RMSE
0	13.26200315
1	13.04755755
2	12.7888511
3	12.56513636
4	12.32483021
5	12.11345327
6	11.91344319
7	11.68540705
8	11.50448701
9	11.33419168
10	11.14127938
11	10.94615378
12	10.77756372
13	10.60377749
14	10.40005998
15	10.20908009
16	10.05304698
17	9.846708554
18	9.645343631
19	9.480745125
20	9.305843732
21	9.138452507
22	8.977297927
23	8.829213233
24	8.668230387
25	8.522335661
26	8.383630029
27	8.238150995
28	8.10064036
29	7.938932426
30	7.785034764
31	7.650685646
32	7.503868077
33	7.393138819
34	7.262378642
35	7.12885587
36	6.983080957
37	6.877395889
38	6.745818741
39	6.637340756
40	6.521488088
41	6.417188133
42	6.318750511
43	6.209634122
44	6.105215411
45	6.00750907
46	5.924513439
47	5.829703181
48	5.745411603
49	5.655180974
50	5.561906949
51	5.469106987
52	5.388743818
53	5.290647727
54	5.196773425
55	5.120748481
56	5.038781469
57	4.947732001
58	4.866731399
59	4.779693916
60	4.706337426
61	4.630881203
62	4.553178528
63	4.478387239
64	4.418744335
65	4.344822625
66	4.279147796
67	4.21487398
68	4.134303891
69	4.073310036
70	4.018222533
71	3.965481604
72	3.899668003
73	3.840323471
74	3.770982761
75	3.713440424
76	3.657567696
77	3.59821239
78	3.541427465
79	3.482227856
80	3.429299565
81	3.374078905
82	3.319764173
83	3.263722843
84	3.22171809
85	3.170911453
86	3.12573051
87	3.083435908
88	3.03542516
89	2.990807517
90	2.95082038
91	2.903815142
92	2.860652664
93	2.823110322
94	2.778713727
95	2.742958285
96	2.709749273
97	2.677156068
98	2.639465821
99	2.604501411
100	2.573698202
101	2.535230943
102	2.494556389
103	2.458217852
104	2.422755986
105	2.388718466
106	2.357603983
107	2.323099859
108	2.288847662
109	2.261711852
110	2.227929656
111	2.200512686
112	2.167682364
113	2.140107655
114	2.107814928
115	2.080620178
116	2.054844629
117	2.028293245
118	1.999495624
119	1.974126898
120	1.950228816
121	1.920352972
122	1.895204122
123	1.871485374
124	1.844927101
125	1.818252844
126	1.791324206
127	1.768711377
128	1.748511456
129	1.727887363
130	1.711707483
131	1.689173915
132	1.669684444
133	1.648440508
134	1.626404042
135	1.604112143
136	1.581158778
137	1.563007768
138	1.544786173
139	1.525289655
140	1.506619816
141	1.488143923
142	1.467961477
143	1.448292648
144	1.429030949
145	1.412778747
146	1.394092821
147	1.37615594
148	1.360198096
149	1.345271651
150	1.333457892
151	1.319621192
152	1.306851635
153	1.29051426
154	1.272538706
155	1.257469624
156	1.246794505
157	1.231584022
158	1.219868588
159	1.206517948
160	1.192395396
161	1.178710984
162	1.165496578
163	1.1516396
164	1.138430421
165	1.125286949
166	1.11417348
167	1.101939473
168	1.090898459
169	1.079310372
170	1.068660766
171	1.0589169
172	1.050523245
173	1.038897593
174	1.029760236
175	1.020606097
176	1.01105038
177	1.001361885
178	0.9932385714
179	0.9840172288
180	0.9736391198
181	0.964827375
182	0.9545078548
183	0.9467131054
184	0.9392340832
185	0.9311831545
186	0.9221775708
187	0.9138466304
188	0.9059885544
189	0.8968807473
190	0.8867439121
191	0.8792752932
192	0.874441251
193	0.8675747082
194	0.8599016277
195	0.8531683803
196	0.8460451769
197	0.8387373418
198	0.8317359928
199	0.8263290057
200	0.8204376933
201	0.8134296795
202	0.806673915
203	0.8000561998
204	0.794476015
205	0.7875170264
206	0.7817106138
207	0.775348351
208	0.7697409264
209	0.7636488164
210	0.7589117163
211	0.753133581
212	0.748332253
213	0.7421316175
214	0.7368358548
215	0.7313243392
216	0.7250946401
217	0.7188004042
218	0.7131416014
219	0.7073472981
220	0.7022621981
221	0.6970993055
222	0.6918190406
223	0.6862096417
224	0.6790253439
225	0.6739687215
226	0.6694602437
227	0.6639775419
228	0.6589388557
229	0.6553165933
230	0.6514396131
231	0.6468068451
232	0.6434810645
233	0.6388169029
234	0.6337862864
235	0.628831297
236	0.6241422083
237	0.6199173076
238	0.6151701585
239	0.6108996016
240	0.6072511719
241	0.6035733709
242	0.5988302162
243	0.5943180957
244	0.58981811
245	0.5857304567
246	0.5819456701
247	0.5774916772
248	0.5740765066
249	0.5706232331
250	0.5666306796
251	0.5633098837
252	0.5594538045
253	0.5562256101
254	0.5527437599
255	0.5490286584
256	0.5457166532
257	0.5423112829
258	0.5396899426
259	0.5362600212
260	0.5328610394
261	0.5291419076
262	0.526412416
263	0.5240903804
264	0.5209165185
265	0.5176661645
266	0.5151609468
267	0.5125293499
268	0.5092287448
269	0.5063725994
270	0.5039667371
271	0.5009252758
272	0.4981576518
273	0.4953349785
274	0.4932712435
275	0.4901266107
276	0.4876108995
277	0.4840070557
278	0.481822138
279	0.4792204169
280	0.4768429158
281	0.4743569856
282	0.4723169455
283	0.4694009662
284	0.4665901294
285	0.4648375948
286	0.462513364
287	0.4597310354
288	0.4577090534
289	0.4557630141
290	0.4533351301
291	0.4511809356
292	0.448428602
293	0.4465763897
294	0.4440977712
295	0.4427724413
296	0.4411289118
297	0.4394732454
298	0.4368298138
299	0.4343165115
300	0.4324663565
301	0.4307811654
302	0.4288159433
303	0.427133111
304	0.4252952868
305	0.4235574465
306	0.4220998229
307	0.4197608402
308	0.4184533009
309	0.4169458979
310	0.4153858694
311	0.4131351833
312	0.4108498927
313	0.4094104493
314	0.4082333216
315	0.4070806837
316	0.4059349179
317	0.4046197815
318	0.4030124784
319	0.4016901719
320	0.3998678084
321	0.3983440791
322	0.3972189288
323	0.3961204112
324	0.3944346592
325	0.3929773813
326	0.391476092
327	0.3898148945
328	0.3878814691
329	0.3868428322
330	0.3854080827
331	0.3843938757
332	0.3823595697
333	0.3803804072
334	0.3793949919
335	0.3780965196
336	0.3771481167
337	0.3764398456
338	0.3755173945
339	0.3748261025
340	0.3739288872
341	0.3720504765
342	0.3709882952
343	0.3703254384
344	0.3698611442
345	0.3692124045
346	0.3685334833
347	0.3676210286
348	0.3671866088
349	0.366297539
350	0.3658744239
351	0.3654580322
352	0.3645958039
353	0.3641901695
354	0.3635688991
355	0.3625850334
356	0.3617612073
357	0.3613766091
358	0.3605733412
359	0.3599809621
360	0.3591962492
361	0.3588323273
362	0.357912767
363	0.3571831396
364	0.356831926
